parent_region;region;u_name;popularity;cost_per_week;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;safety;nature;hiking;beach;watersports;entertainment;wintersports;culture;culinary;architecture;shopping;description
;World;;;400.0;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;
World;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Middle America and Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;South America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Oceania;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;Canada;;;725.0;;;;;;;;;;;;;+;;;;;;;;;;;
Canada;Canada North;CND_NO;--;725.0;--;--;--;--;o;+;++;++;+;o;--;--;+;o;o;--;--;--;o;--;--;--;--;Canada North features the rugged wilderness of the Northwest Territories and Nunavut.
Canada;Canada British Columbia;CND_BC;++;725.0;--;--;--;-;o;+;++;++;+;o;--;--;+;++;++;-;o;+;++;o;+;+;+;Canada British Columbia is defined by its dramatic Pacific coastline and the soaring Rocky Mountains. It boasts spectacular rainforests in the Great Bear Rainforest and alpine scenery in Whistler. The West Coast Trail offers a legendary hiking challenge, while the Chief in Squamish provides stunning views. Whistler Blackcomb is a premier destination for world-class skiing and snowboarding.
Canada;Canada Prairies;CND_PR;-;725.0;--;--;--;-;o;+;++;++;+;o;--;--;+;++;++;-;-;--;++;-;-;-;-;Canada Prairies offers vast, living skies and rich agricultural landscapes. Banff and Jasper National Parks on the western edge provide breathtaking mountain vistas and turquoise lakes like Lake Louise. Trails in the Badlands of Dinosaur Provincial Park offer unique geological explorations.
Canada;Canada Ontario;CND_ON;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;++;++;--;-;+;-;o;-;o;o;Canada Ontario blends bustling city life with abundant natural waters. The majestic Niagara Falls and the serene islands of Georgian Bay are must-see natural wonders. The Bruce Trail offers extensive hiking along the Niagara Escarpment.
Canada;Canada Quebec;CND_QU;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;+;+;--;-;+;+;+;-;+;+;Canada Quebec is the heart of French Canada, known for its European charm and vast forests. The Laurentian Mountains offer beautiful fall foliage and year-round outdoor activities. Old Quebec City, a UNESCO World Heritage site, features historic fortifications and cobblestone streets. Mont-Tremblant provides excellent skiing and a picturesque winter village atmosphere.
Canada;Canada Atlantic Provinces;CND_AT;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;++;o;-;+;o;o;o;+;-;o;Canada Atlantic Provinces is characterized by rugged coastlines and maritime history. Gros Morne National Park offers dramatic fjords and tablelands. The Bay of Fundy showcases the world's highest tides.
North America;Greenland;GRL;-;975.0;--;--;-;o;+;++;++;++;++;+;-;--;++;+;+;--;o;--;o;-;--;--;--;Greenland offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;USA;;;600.0;;;;;;;;;;;;;+;;;;;;;;;;;
USA;USA Alaska;USA_AL;o;975.0;--;--;--;--;o;+;++;++;+;o;--;--;+;++;+;--;-;-;o;-;o;--;--;USA Alaska is the ultimate frontier, offering immense glaciers and wildlife. Denali National Park is home to North America's highest peak and grizzly bears. Kenai Fjords National Park offers stunning glacial views. Trails like the Harding Icefield Trail provide challenging but rewarding treks.
USA;USA Pacific Northwest;USA_PN;+;600.0;-;-;-;o;+;++;++;++;++;+;o;-;+;++;+;o;-;o;+;o;o;+;o;USA Pacific Northwest is known for its lush evergreen forests and rugged coastline. Olympic National Park features temperate rainforests and sea stacks. Mount Rainier stands as an iconic glacial peak.
USA;USA California;USA_CA;++;600.0;o;o;+;++;++;+;+;+;++;++;+;o;o;+;+;++;+;++;-;+;o;++;++;USA California offers a diverse landscape from sun-soaked beaches to granite peaks. Yosemite National Park displays massive granite cliffs like El Capitan. The towering Redwoods stand as ancient giants along the coast. Beaches like Santa Monica and Malibu are world-famous for sun and surf. Hollywood and Disneyland provide iconic entertainment experiences.
USA;USA Southwest;USA_SW;++;600.0;o;o;+;++;++;+;o;o;++;++;+;o;+;++;+;--;-;-;--;-;-;-;--;USA Southwest is a land of red rocks and desert grandeur. The Grand Canyon offers awe-inspiring vistas. Zion and Bryce Canyon National Parks feature stunning sandstone formations. The Narrows in Zion offer a unique river hiking experience.
USA;USA Rocky Mountains;USA_RM;+;600.0;-;-;-;o;+;++;++;++;++;+;o;-;+;+;++;--;--;-;++;-;-;-;--;USA Rocky Mountains is a paradise for mountain enthusiasts. Rocky Mountain National Park features high-altitude lakes and peaks. Yellowstone dazzles with geothermal geysers and wildlife like bison. Vail and Aspen are world-renowned for luxury skiing.
USA;USA Great Plains;USA_GP;o;600.0;--;-;-;o;+;++;+;+;++;+;-;--;+;o;--;--;--;--;--;-;-;--;--;USA Great Plains offers a unique travel experience.
USA;USA Texas;USA_TX;o;600.0;-;o;+;++;++;+;o;o;++;+;o;-;+;-;-;o;o;o;-;+;o;o;o;USA Texas offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
USA;USA Midwest;USA_MW;-;600.0;--;--;-;o;+;++;+;+;++;+;-;--;+;o;--;-;-;++;--;+;+;++;+;USA Midwest offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
USA;USA South;USA_SO;+;600.0;o;o;+;++;++;+;o;o;++;++;+;o;+;+;-;+;++;++;--;+;++;o;o;USA South offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
USA;USA Florida;USA_FL;++;600.0;++;++;++;+;o;-;--;--;-;o;++;++;+;+;-;++;++;++;--;+;+;+;o;USA Florida is the Sunshine State, famous for its tropical climate. South Beach in Miami and the keys offering turquoise waters. The Everglades National Park is a unique ecosystem of wetlands and alligators. Orlando's theme parks like Walt Disney World are global attractions.
USA;USA Mid-Atlantic;USA_MA;o;600.0;--;--;-;o;+;++;++;++;++;+;-;--;o;o;-;-;-;++;o;+;o;++;++;USA Mid-Atlantic offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
USA;USA New England;USA_NE;+;600.0;--;--;-;o;+;++;++;++;++;++;-;--;+;+;+;-;o;o;o;+;+;+;-;USA New England is known for its colonial history and spectacular autumn colors. Acadia National Park offers rugged coastal beauty. The White Mountains provide scenic drives and hikes. Boston's Freedom Trail connects key historic sites of the American Revolution.
USA;USA Hawaii;USA_HA;+;600.0;+;+;++;++;++;++;++;++;++;++;++;+;o;+;o;++;++;o;--;o;+;-;-;USA Hawaii is a tropical paradise of volcanic islands. Volcanoes National Park allows visitors to see active lava flows. The Na Pali Coast offers breathtaking cliffs and valleys. Waikiki and North Shore beaches are legendary for surfing and relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;Mexico;;;375.0;;;;;;;;;;;;;o;;;;;;;;;;;
Mexico;Mexico Baja California;MEX_BC;+;375.0;++;++;+;+;o;--;--;--;-;o;+;++;o;+;-;++;++;o;--;-;o;--;--;Mexico Baja California offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
Mexico;Northern Mexico;MEX_NO;-;375.0;++;++;+;+;o;--;--;--;-;o;+;++;o;o;o;--;--;--;--;-;-;--;--;Northern Mexico offers a unique travel experience.
Mexico;Mexico Bajio and Central Mexico;MEX_BA;o;375.0;++;++;+;+;o;--;--;--;-;o;+;++;o;+;o;--;--;o;--;+;o;+;+;Mexico Bajio and Central Mexico offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
Mexico;Mexico Pacific Coast;MEX_PC;+;375.0;++;++;++;+;+;-;--;--;--;o;+;++;o;o;-;o;o;-;--;o;o;-;-;Mexico Pacific Coast offers a unique travel experience.
Mexico;Mexico Yucatan;MEX_YU;++;415.0;++;++;++;+;+;-;--;--;--;o;+;++;o;o;-;+;+;-;--;++;+;o;-;Mexico Yucatan is rich in Mayan history and Caribbean beauty. Cancun and Tulum boast white sand beaches and turquoise waters. Chichen Itza and Uxmal are magnificent Mayan archaeological sites.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middle America and Caribbean;Middle America;;;;++;++;++;+;+;o;-;-;-;o;+;++;;;;;;;;;;;;
Middle America;Guatemala and Belize;GTM;o;250.0;++;++;++;+;o;-;--;--;--;o;+;++;-;o;-;o;-;-;--;++;o;-;-;Guatemala and Belize offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Middle America;Honduras and El Salvador;HND;o;250.0;++;++;++;+;o;-;--;--;--;o;+;++;-;o;o;+;+;-;--;+;o;-;-;Honduras and El Salvador offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Middle America;Nicaragua;NIC;o;250.0;++;++;++;+;o;-;--;--;--;o;+;++;-;o;-;o;o;-;--;o;o;-;-;Nicaragua offers a unique travel experience.
Middle America;Costa Rica;CRI;+;400.0;++;++;++;+;o;-;-;-;-;o;+;++;o;++;+;+;+;-;--;o;o;-;-;Costa Rica is a haven for eco-tourism and biodiversity. Monteverde Cloud Forest Reserve offers misty trails and wildlife. Arenal Volcano is a stunning conical landmark. Manuel Antonio National Park combines rainforests with pristine beaches.
Middle America;Panama;PAN;o;400.0;++;++;++;+;o;-;-;-;-;o;+;++;o;+;+;+;o;-;--;o;o;+;-;Panama offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middle America and Caribbean;Caribbean;;;;++;++;++;++;+;o;-;-;-;-;+;++;o;;;;;;;;;;;
Caribbean;Bahamas, Turks and Caicos Islands;BHS;+;725.0;++;++;++;+;o;-;--;--;-;o;++;++;o;-;--;++;++;+;--;o;-;--;-;Bahamas, Turks and Caicos Islands offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
Caribbean;Cuba;CUB;o;350.0;++;++;++;++;+;o;-;--;--;-;+;++;+;o;-;o;-;o;--;++;--;+;-;Cuba is a vibrant island frozen in time. Old Havana features Spanish colonial architecture and classic cars. The streets are alive with salsa music and dance.
Caribbean;Greater Antilles without Cuba;HTI;++;575.0;++;++;++;++;+;o;-;--;--;-;+;++;o;o;o;++;+;o;--;+;-;-;-;Greater Antilles without Cuba offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Caribbean;Lesser Antilles;AIA;+;575.0;++;++;++;++;+;o;-;--;--;-;+;++;o;o;--;++;++;+;--;o;o;--;-;Lesser Antilles offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
South America;Venezuela;VEN;--;390.0;++;++;++;++;+;o;-;-;-;o;+;++;-;++;-;+;o;-;--;o;o;o;o;Venezuela offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
South America;Guianas;GUY;--;525.0;o;+;++;+;-;-;-;o;++;++;++;o;-;+;-;o;-;--;--;-;+;--;--;Guianas offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
South America;Colombia;COL;o;350.0;++;++;++;o;-;-;+;+;-;-;o;++;o;+;o;+;o;+;-;+;o;o;o;Colombia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
South America;Ecuador;ECU;+;350.0;-;-;-;o;o;+;++;++;++;o;-;-;o;+;+;o;o;-;--;o;o;o;o;Ecuador offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
South America;Peru;PER;+;350.0;-;-;-;o;+;++;++;++;+;o;-;-;-;++;+;-;-;-;--;++;+;-;o;Peru is the land of the Incas and diverse geography. Machu Picchu, the lost city of the Incas, is a world wonder. Cusco displays a unique blend of Incan and colonial architecture. The Amazon Rainforest offers unparalleled biodiversity. The Inca Trail is a bucket-list trek through the Andes.
South America;Bolivia;BOL;o;310.0;--;--;-;+;++;++;++;++;++;+;-;--;o;+;+;--;--;-;--;+;o;-;o;Bolivia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South America;Brazil;;;625.0;;;;;;;;;;;;;-;;;;;;;;;;;
Brazil;Brazil North;BRA_NO;o;625.0;-;-;-;-;o;++;++;++;++;+;o;-;-;o;-;-;--;--;--;-;o;-;-;Brazil North offers a unique travel experience.
Brazil;Brazil Northeast;BRA_NE;o;625.0;+;o;-;--;--;--;-;+;++;++;++;++;-;o;-;+;+;o;--;+;o;o;o;Brazil Northeast offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Brazil;Brazil Central West;BRA_CW;-;625.0;-;-;-;o;+;++;++;++;+;o;-;-;-;+;o;--;-;-;--;o;o;-;-;Brazil Central West is a wildlife sanctuary. The Pantanal is the world's largest wetland, perfect for spotting jaguars and caimans. Chapada dos Guimarães offers dramatic red sandstone cliffs and waterfalls.
Brazil;Brazil Southeast;BRA_SE;+;625.0;-;-;o;+;++;++;++;++;+;o;-;-;-;o;-;+;o;o;--;++;o;++;+;Brazil Southeast is the cultural and economic heart of the country. Christ the Redeemer and the Sugarloaf Mountain are iconic landmarks. Copacabana and Ipanema beaches are famous for their vibrant social scene.
Brazil;Brazil South;BRA_SO;o;625.0;++;++;++;+;+;o;o;o;+;+;++;++;-;-;-;o;-;o;--;o;o;-;-;Brazil South offers a unique travel experience.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
South America;Chile North and Central;CHL_NC;o;400.0;+;++;++;++;+;o;o;o;++;++;++;+;+;+;o;--;-;o;--;+;o;o;o;Chile North and Central offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
South America;Paraguay;PRY;-;400.0;o;o;o;+;++;++;++;++;++;+;o;o;+;o;-;--;--;-;--;o;o;-;o;Paraguay offers a unique travel experience.
South America;Uruguay;URY;-;400.0;++;++;+;+;o;o;o;o;o;+;++;++;+;o;-;o;-;o;--;o;o;o;o;Uruguay offers a unique travel experience.
South America;Argentina;;;400.0;;;;;;;;;;;;;;;;;;;;;;;;Argentina offers a unique travel experience.
Argentina;Argentina North;ARG_NO;+;400.0;o;o;o;+;++;++;++;++;++;+;o;o;+;o;o;--;--;-;--;o;o;--;-;Argentina North offers a unique travel experience.
Argentina;Argentina Central;ARG_CE;+;400.0;-;o;+;++;++;+;o;o;+;++;++;o;+;o;-;-;-;-;-;+;o;+;o;Argentina Central offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
South America;Patagonia;ARG_SO;+;625.0;++;++;+;-;--;--;--;--;--;-;o;++;+;+;++;--;o;--;-;o;-;--;--;Patagonia is a wild region of windswept steppes and glacial peaks. Perito Moreno Glacier in Argentina is a spectacular advancing ice formation. Torres del Paine in Chile features iconic granite towers. The W Trek is a premier hiking route through diverse landscapes.
South America;Antarctica and South Atlantic;ATA;o;4500.0;++;+;o;--;--;--;--;--;--;--;o;++;+;+;o;--;o;--;--;--;--;--;--;Antarctica and South Atlantic offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa;Maghreb;;;;--;-;++;++;++;o;o;o;++;++;++;-;;;;;;;;;;;;
Maghreb;Morocco;MAR;o;390.0;--;-;++;++;++;o;o;o;++;++;++;-;o;+;o;o;o;+;--;++;+;+;+;Morocco offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
Maghreb;Algeria;DZA;--;450.0;--;-;++;++;++;o;o;o;++;++;++;-;-;o;-;o;-;o;--;o;o;o;-;Algeria offers a unique travel experience.
Maghreb;Tunisia;TUN;o;375.0;--;-;++;++;++;o;o;o;++;++;++;-;-;o;o;+;o;o;--;+;+;o;o;Tunisia offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Maghreb;Libya;LBY;-;500.0;--;-;++;++;++;o;o;o;++;++;++;-;-;o;-;o;-;o;--;+;o;-;-;Libya offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
Africa;Egypt;EGY;+;415.0;-;o;++;++;++;o;-;o;++;++;++;o;o;o;-;+;++;+;--;++;o;+;o;Egypt is the land of pharaohs and the Nile. The Pyramids of Giza and the Sphinx are ancient wonders. Luxor's Valley of the Kings holds ancient royal tombs. The Red Sea resorts like Hurghada offer world-class diving.
Africa;Sahel West;MRT;--;415.0;++;+;-;--;--;--;-;o;o;+;+;++;-;o;-;-;--;-;--;+;o;-;-;Sahel West is rich in history and culture. Goree Island off Dakar is a poignant memorial to the Atlantic slave trade. The Great Mosque of Djenne (in nearby Mali area) is a masterpiece of mud architecture.
Africa;Sahel East;TCD;--;415.0;++;++;o;-;--;--;-;-;-;o;+;++;--;o;--;--;--;-;--;+;o;-;--;Sahel East offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Africa;West Africa;SEN;--;500.0;+;+;+;o;-;-;-;-;-;-;+;+;-;o;-;+;o;-;--;+;o;o;-;West Africa offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Africa;Central Africa;CAF;--;500.0;+;+;o;o;-;-;-;-;-;-;+;+;--;+;-;--;--;--;--;o;o;-;--;Central Africa is a region of dense rainforests and wildlife. Dzanga-Sangha National Park offers opportunities to see forest elephants and western lowland gorillas. Odzala-Kokoua National Park is known for its biodiversity.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa;East Africa;;;350.0;++;++;++;+;o;-;-;-;-;o;+;++;;;;;;;;;;;;
East Africa;Eritrea, Djibouti, Ethiopia;ERI;-;350.0;++;+;+;+;+;o;-;-;o;+;++;++;o;+;o;-;--;-;--;+;-;o;o;Eritrea, Djibouti, Ethiopia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
East Africa;Somalia;SOM;--;350.0;++;++;+;o;o;-;o;o;+;+;+;++;--;o;--;-;-;--;--;-;-;--;--;Somalia offers a unique travel experience.
East Africa;Kenya;KEN;+;350.0;o;o;o;-;-;+;++;++;++;+;o;-;-;+;-;+;o;-;--;o;-;o;o;Kenya is a premier safari destination. The Masai Mara National Reserve is famous for the Great Migration. Amboseli National Park offers views of Mount Kilimanjaro with elephants.
East Africa;Tanzania;TZA;o;350.0;-;-;-;o;+;++;++;++;+;+;o;o;o;+;-;+;o;-;--;o;-;-;o;Tanzania offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
East Africa;Uganda, Rwanda and Burundi;UGA;-;350.0;++;++;+;o;+;++;++;+;+;o;o;+;o;++;o;--;--;-;--;o;-;-;o;Uganda, Rwanda and Burundi offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa;Southern Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;
Southern Africa;Comoros, Mayotte, Mauritius, Reunion;COM;+;525.0;+;+;+;++;++;++;+;+;++;++;++;+;+;+;+;+;+;+;--;o;o;--;-;Comoros, Mayotte, Mauritius, Reunion offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Southern Africa;South Africa;ZAF;++;385.0;-;o;++;++;++;o;-;+;++;++;+;-;-;++;+;+;o;+;--;o;o;o;-;South Africa offers a world in one country. Kruger National Park is one of Africa's largest game reserves. Table Mountain provides iconic views over Cape Town.
Southern Africa;Madagascar;MDG;-;350.0;o;o;o;+;+;+;++;++;++;+;+;o;o;+;o;-;+;o;--;o;-;-;-;Madagascar offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
Southern Africa;Namibia;NAM;+;385.0;-;-;+;++;++;++;+;+;++;++;o;-;o;+;+;-;--;o;--;o;o;-;-;Namibia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
Southern Africa;Botswana;BWA;+;560.0;-;-;-;o;+;+;+;++;++;++;+;-;+;++;+;--;--;-;--;-;o;-;-;Botswana offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
Southern Africa;Zambia and Malawi;ZMB;o;450.0;-;-;-;o;++;++;+;+;++;+;o;-;o;++;o;--;--;-;--;o;o;-;-;Zambia and Malawi offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
Southern Africa;Mozambique and Zimbabwe;MOZ;-;350.0;-;-;-;o;+;++;+;+;++;++;+;-;-;+;o;+;+;o;--;o;o;o;-;Mozambique and Zimbabwe offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;Near and Middle East;;;;;;;;;;;;;;;;;;;o;;;;;;;;
Near and Middle East;Israel;ISR;o;420.0;o;o;o;+;++;++;+;+;++;++;+;o;o;o;o;o;+;o;--;+;o;+;o;Israel offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Near and Middle East;Jordan and Palestina;JOR;o;350.0;o;o;++;++;++;o;-;-;+;++;++;o;o;o;-;--;--;o;--;+;o;-;-;Jordan and Palestina offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Near and Middle East;Lebanon and Syria;LBN;-;350.0;o;o;++;++;++;o;-;-;+;++;++;o;--;o;-;o;-;-;--;o;o;-;-;Lebanon and Syria offers a unique travel experience.
Near and Middle East;Iraq and Kuwait;IRQ;--;420.0;o;o;+;+;+;o;o;o;o;+;+;o;--;-;--;o;o;-;--;o;o;-;-;Iraq and Kuwait offers a unique travel experience.
Near and Middle East;Iran;IRN;-;350.0;-;o;+;++;+;+;o;o;+;++;+;o;+;o;-;-;-;o;o;+;o;o;-;Iran offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Near and Middle East;United Arab Emirates;ARE;+;525.0;++;++;++;+;o;-;--;--;-;o;++;++;++;o;-;o;o;o;-;o;o;+;+;United Arab Emirates offers a unique travel experience.
Near and Middle East;Saudi-Arabia;SAU;o;560.0;++;++;+;o;o;-;--;--;-;o;++;++;++;o;--;o;o;-;--;o;o;o;-;Saudi-Arabia offers a unique travel experience.
Near and Middle East;Oman and Yemen;OMN;o;490.0;++;++;++;+;o;-;--;--;-;o;++;++;o;o;-;-;-;-;--;o;o;+;-;Oman and Yemen offers a unique travel experience.
