parent_region;region;u_name;popularity;cost_per_week;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;safety;nature;hiking;beach;watersports;entertainment;wintersports;culture;culinary;architecture;shopping;description
Near and Middle East;Qatar and Bahrain;QAT;+;525.0;++;++;+;o;o;-;--;--;-;o;++;++;+;o;--;+;+;o;-;o;o;o;+;Qatar and Bahrain offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;Russland and Caucasus;;;;-;-;-;o;+;+;+;+;+;o;-;-;o;;;--;;;;;;;;
Russland and Caucasus;Caucasus;ARM;-;400.0;--;--;-;o;+;++;+;++;+;o;-;--;-;o;-;-;--;-;-;o;o;o;-;Caucasus offers a unique travel experience.
Russland and Caucasus;Russia West;RUS_WE;o;400.0;--;--;--;-;o;+;++;+;o;-;--;--;o;o;-;-;-;o;--;+;o;+;+;Russia West offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Russland and Caucasus;Russia South;RUS_SO;-;400.0;--;-;-;o;+;+;++;+;o;o;-;--;-;o;-;-;-;-;-;o;o;o;-;Russia South offers a unique travel experience.
Russland and Caucasus;Russia Central;RUS_CE;--;400.0;--;--;--;-;o;+;+;+;o;-;--;--;o;o;-;--;--;--;-;-;-;--;--;Russia Central offers a unique travel experience.
Russland and Caucasus;Russia East;RUS_EA;--;400.0;--;--;--;--;-;o;+;o;-;--;--;--;o;o;-;--;--;--;-;--;-;--;--;Russia East is a remote wilderness.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;South Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Asia;Pakistan;PAK;--;400.0;o;o;+;+;o;-;-;-;+;+;o;o;--;+;+;-;-;o;--;o;o;o;-;Pakistan offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
South Asia;Nepal;NPL;+;400.0;-;o;+;++;+;o;-;-;o;++;+;o;+;+;++;--;--;-;-;o;o;-;--;Nepal offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
South Asia;Bhutan;BTN;o;250.0;o;o;+;+;o;-;-;-;+;++;++;+;++;++;+;--;--;-;-;+;o;-;--;Bhutan offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Asia;India;;;350.0;;;;;;;;;;;;;o;;;;;;;;;;;
India;India Himalayan North and Plains;IND_NO;o;350.0;++;++;+;+;o;-;--;--;--;++;++;++;o;+;++;--;--;-;-;+;+;+;o;India Himalayan North and Plains is dominated by the Himalayas and spiritual rivers. The Taj Mahal in Agra is a monument to eternal love. Varanasi on the Ganges is one of the world's oldest living cities. Leh-Ladakh offers stark, high-altitude desert beauty.
India;India Northeast and Bangladesh;IND_NE;-;350.0;++;++;+;o;o;o;--;--;--;+;++;++;-;+;+;-;-;-;--;+;+;o;-;India Northeast and Bangladesh offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
India;India East;IND_EA;-;350.0;++;++;+;o;o;o;--;--;--;+;++;++;o;o;-;-;-;o;--;+;+;+;o;India East offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
India;India West;IND_WE;+;350.0;++;++;+;o;o;o;--;--;--;+;++;++;o;o;-;+;o;o;--;+;+;o;-;India West offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
India;India South;IND_SO;+;350.0;++;++;+;o;o;--;--;--;--;o;++;++;o;o;-;+;o;o;--;+;+;+;-;India South offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
South Asia;Sri Lanka;LKA;o;360.0;+;+;+;o;-;-;-;o;+;o;+;+;o;o;-;+;+;o;--;+;o;o;-;Sri Lanka offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
South Asia;Maldives;MDV;+;350.0;++;++;++;o;-;o;o;o;-;-;-;-;+;-;--;++;++;o;--;o;o;-;--;Maldives offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;Southeast Asia;;;;;;;;;;;;;;;;+;;;;;;;;;;;Southeast Asia offers a unique travel experience.
Southeast Asia;Myanmar;MMR;o;450.0;++;++;o;--;--;--;-;-;-;o;++;++;+;o;o;o;o;o;--;++;o;-;-;Myanmar offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Southeast Asia;Thailand North and Laos;THA_NO;+;360.0;++;++;+;--;--;-;-;-;-;o;++;++;+;+;+;-;--;+;--;+;+;+;-;Thailand North and Laos offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
Southeast Asia;Thailand South;THA_SO;++;375.0;++;+;+;-;-;o;o;o;o;+;++;++;+;+;o;++;+;o;--;o;+;-;-;Thailand South is a tropical beach paradise. Phuket and Krabi offer stunning limestone cliffs and clear waters. The Phi Phi Islands are famous for their scenic bays.
Southeast Asia;Vietnam and Cambodia;VNM;+;375.0;++;++;+;--;--;-;-;-;-;o;++;++;+;+;o;o;-;o;--;+;o;o;--;Vietnam and Cambodia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
Southeast Asia;West Malaysia and Singapur;MYS_WE;++;510.0;o;o;+;+;+;+;o;o;+;+;+;o;++;+;-;+;o;o;--;o;o;+;+;West Malaysia and Singapur offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
Southeast Asia;Borneo;MYS_BO;o;460.0;-;o;+;+;+;+;o;o;+;+;o;-;+;+;-;o;o;-;--;o;-;--;--;Borneo offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
Southeast Asia;Indonesia;;;400.0;;;;;;;;;;;;;+;;;;;;;;;;;Indonesia offers a unique travel experience.
Indonesia;Sumatra and Java;IDN_SU;+;400.0;--;-;o;o;++;++;++;++;+;o;-;--;+;+;+;o;+;o;--;+;o;+;o;Sumatra and Java offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
Indonesia;Bali and Lombok;IDN_BA;++;400.0;--;--;-;o;+;++;++;++;++;+;o;-;+;+;o;+;+;o;--;o;o;o;-;Bali and Lombok offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
Indonesia;Indonesian islands west of Lombok;IDN_RE;-;400.0;--;--;-;o;+;++;++;++;++;+;o;-;+;+;-;o;o;-;--;o;o;--;--;Indonesian islands west of Lombok offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
Southeast Asia;Philippines;PHL;o;375.0;+;++;++;++;o;-;--;--;--;-;-;o;o;o;o;+;+;o;--;+;o;-;-;Philippines offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;East Asia;;;450.0;;;;;;;;;;;;;;;;;;;;;;;;
East Asia;China;;;450.0;;;;;;;;;;;;;+;;;;;;;;;;;
China;China Northeast (Liaoning to Heilongjiang);CHN_NE;-;450.0;--;--;--;-;o;+;++;+;+;o;--;--;+;o;-;-;--;-;o;-;o;-;o;China Northeast (Liaoning to Heilongjiang) offers a unique travel experience.
China;China North (Beijing region);CHN_NO;+;450.0;--;--;-;o;+;++;+;++;++;+;-;--;+;o;-;-;-;+;-;+;o;+;+;China North (Beijing region) offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
China;China Northwest (Shaanxi to Xinjiang);CHN_NW;-;500.0;--;--;-;o;+;++;++;++;o;o;--;--;+;o;-;--;--;-;--;o;o;-;-;China Northwest (Shaanxi to Xinjiang) is a land of Silk Road history and dramatic landscapes.
China;China Southwest (Guangxi to Tibet);CHN_SW;-;500.0;--;-;o;+;++;++;+;+;++;+;-;--;+;+;+;--;--;o;-;+;+;-;-;China Southwest (Guangxi to Tibet) offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
China;China South-central (Sichuan to Anhui);CHN_SC;-;450.0;-;-;o;+;++;+;+;+;++;+;o;-;+;o;o;--;--;o;-;o;+;o;o;China South-central (Sichuan to Anhui) offers a unique travel experience.
China;China Southeast (Hainan to Fujian, incl. Hong Kong);CHN_SE;-;450.0;o;o;+;++;o;o;+;+;++;++;+;o;+;+;o;+;+;+;--;o;o;++;++;China Southeast (Hainan to Fujian, incl. Hong Kong) offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation.
China;China East (Shanghai region);CHN_EA;+;450.0;-;-;o;+;++;+;+;+;++;+;o;-;+;+;o;o;o;+;--;+;o;++;++;China East (Shanghai region) offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
East Asia;Taiwan;TWN;o;510.0;-;o;++;++;++;-;--;--;++;++;++;o;++;+;+;+;-;o;--;+;o;+;+;Taiwan offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
East Asia;Japan;JPN;+;560.0;-;o;++;++;++;o;-;-;++;++;+;-;++;+;+;o;-;+;o;+;o;++;+;Japan seamlessly blends ancient tradition with modernity. Kyoto's temples like Kinkaku-ji and Fushimi Inari Taisha are cultural treasures. Mount Fuji is an iconic symbol and scenic hiking destination.
East Asia;South Korea;KOR;o;490.0;-;-;-;+;+;o;o;o;+;++;+;-;+;+;+;-;-;o;-;+;o;+;+;South Korea offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
East Asia;North Korea;PRK;--;400.0;-;-;-;+;+;o;o;o;+;++;+;-;o;-;--;--;--;--;--;o;--;-;--;North Korea offers a unique travel experience.
East Asia;Mongolia;MNG;-;350.0;--;--;-;o;+;++;o;o;++;+;o;--;+;o;o;--;--;-;-;o;o;--;-;Mongolia offers a unique travel experience.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;nan offers a unique travel experience.
Asia;Central Asia;;;350.0;;;;;;;;;;;;;;;;;;;;;;;;Central Asia offers a unique travel experience.
Central Asia;Uzbekistan and Turkmenistan;UZB;o;350.0;--;-;o;o;++;++;+;+;++;++;+;--;o;o;o;--;--;-;o;o;o;o;-;Uzbekistan and Turkmenistan offers a unique travel experience.
Central Asia;Kyrgyzstan and Tajikistan;KGZ;-;350.0;--;-;o;o;+;++;++;++;+;o;-;--;o;+;-;--;--;--;--;-;o;--;--;Kyrgyzstan and Tajikistan offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
Central Asia;Kazakhstan;KAZ;-;350.0;--;--;--;-;+;+;+;+;+;-;--;--;o;-;--;--;--;--;--;o;-;-;-;Kazakhstan offers a unique travel experience.
Central Asia;Afghanistan;AFG;--;350.0;--;--;-;+;+;o;-;o;+;+;o;--;--;-;-;--;--;-;--;o;o;-;-;Afghanistan offers a unique travel experience.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oceania;Australia;;;560.0;;;;;;;;;;;;;+;;;;;;;;;;;
Australia;Australia West;AUS_WE;+;560.0;o;o;++;+;o;-;-;o;++;++;++;o;+;+;+;+;+;o;--;o;-;-;o;Australia West offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Australia;Australia Northeast;AUS_NE;+;560.0;-;-;-;-;o;+;+;++;++;++;+;o;+;+;o;++;++;o;--;o;-;-;o;Australia Northeast is home to aquatic wonders. The Great Barrier Reef is the world's largest coral reef system, perfect for diving. The Daintree Rainforest offers ancient tropical biodiversity.
Australia;Australia South;AUS_SO;++;560.0;o;+;++;++;o;-;-;o;++;++;++;o;+;+;+;+;+;o;--;o;-;o;o;Australia South offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Oceania;New Zealand;NZL;++;490.0;++;++;++;+;o;-;-;-;-;o;+;++;++;++;+;o;o;o;-;o;o;o;o;New Zealand is an adventure capital with stunning scenery. Milford Sound offers dramatic fiord landscapes. Rotorua is famous for its geothermal activity and Maori culture. The Tongariro Alpine Crossing is often called the best day hike in the world.
Oceania;Papua New Guinea;PNG;--;750.0;--;--;--;-;-;+;+;+;+;o;-;--;o;o;+;o;o;o;--;+;o;-;--;Papua New Guinea offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oceania;Pacific;;;400.0;o;o;o;+;+;+;+;+;+;+;+;o;+;;;;;;;;;;;
Pacific;Micronesia;FSM;-;750.0;o;o;o;+;+;+;+;+;+;+;+;o;+;+;-;++;+;-;--;+;o;--;-;Micronesia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Pacific;Melanesia;SLB;-;750.0;o;o;o;+;+;+;+;+;+;+;+;o;+;+;-;++;+;-;--;+;o;--;-;Melanesia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Pacific;Polynesia;PYF;-;800.0;o;o;o;+;+;+;+;+;+;+;+;o;+;+;-;++;+;o;--;+;o;--;-;Polynesia offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;North Europe;;;;-;-;-;o;+;++;++;++;+;o;o;-;++;;;;;;;;;;;
North Europe;Norway;NOR;++;560.0;-;-;-;o;+;++;++;++;+;o;o;-;++;+;+;--;-;-;+;o;o;-;o;Norway is famous for its deep fjords and mountainous terrain. Geirangerfjord and Nærøyfjord provide stunning scenic cruises. Hikes to Trolltunga and Preikestolen offer dizzying cliff-top views.
North Europe;Finland;FIN;o;525.0;-;-;-;o;+;++;++;++;+;o;o;-;++;+;o;--;-;o;o;o;o;-;o;Finland offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
North Europe;Sweden and Denmark;SWE;+;525.0;-;-;-;o;+;++;++;++;+;o;o;-;++;+;o;-;o;o;o;o;o;o;o;Sweden and Denmark offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery.
North Europe;Iceland and Faroe Islands;ISL;+;560.0;-;-;-;o;+;++;++;++;+;o;o;-;++;+;+;--;o;-;-;o;-;-;-;Iceland and Faroe Islands offers dramatic volcanic and coastal landscapes. The Golden Circle route features geysers like Strokkur and Gullfoss waterfall. Black sand beaches at Reynisfjara are visually striking.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Central Europe;;;;o;-;o;o;+;++;++;++;++;+;-;o;+;;;;;;;;;;;
Central Europe;Germany;DEU;+;420.0;o;-;o;o;+;++;++;++;++;+;-;o;+;o;o;-;-;+;o;+;o;+;o;Germany offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Central Europe;Austria;AUT;++;500.0;+;+;+;o;+;++;++;++;+;o;-;+;+;+;+;--;-;o;++;+;o;+;o;Austria offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
Central Europe;Benelux;NLD;+;420.0;o;-;o;o;+;++;++;++;++;+;-;o;+;o;o;-;-;o;-;+;-;+;o;Benelux offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Central Europe;Switzerland and Liechtenstein;CHE;+;750.0;+;+;+;o;+;++;++;++;+;o;-;+;+;+;+;--;-;o;++;+;o;+;o;Switzerland and Liechtenstein offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
Central Europe;France;FRA;++;420.0;o;-;o;o;+;++;++;++;++;+;-;o;+;+;+;+;o;o;o;+;+;+;+;France offers a diverse mix of romance, history, and landscapes. Paris boasts landmarks like the Eiffel Tower and the Louvre. The French Alps offer majestic peaks like Mont Blanc. The French Riviera is synonymous with glamour and azure waters.
Central Europe;Slovenia and Croatia;SVN;+;350.0;o;-;o;o;+;++;++;++;++;+;-;o;+;o;o;+;o;o;-;+;o;+;o;Slovenia and Croatia offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;British Islands;;;420.0;-;-;o;+;++;++;+;+;+;+;o;-;+;;;;;;;;;;;
British Islands;Ireland and Northern Ireland;IRL;+;400.0;-;-;o;+;++;++;+;+;+;+;o;-;+;+;o;--;--;o;-;+;o;o;o;Ireland and Northern Ireland offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites.
British Islands;Scotland;GBR_SC;+;400.0;-;-;o;+;++;++;+;+;+;+;o;-;+;o;o;--;--;o;-;+;-;o;o;Scotland offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
British Islands;England and Wales;GBR_EN;+;400.0;-;-;o;+;++;++;+;+;+;+;o;-;+;o;o;-;--;o;--;+;-;+;+;England and Wales offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Eastern Europe;;;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;;;-;;;;;;;;
Eastern Europe;Czech Republic and Slovakia;CZE;o;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;o;--;--;o;o;+;o;+;o;Czech Republic and Slovakia offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Eastern Europe;Hungary;HUN;o;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;+;-;-;o;-;+;o;+;o;Hungary offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Scenic trails offer great opportunities for hiking and exploration.
Eastern Europe;Baltic states;EST;o;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;o;-;-;o;-;+;o;+;-;Baltic states offers a unique travel experience. Visitors can explore the rich local heritage and historical sites.
Eastern Europe;Poland;POL;o;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;-;-;-;o;--;o;o;o;o;Poland offers a unique travel experience.
Eastern Europe;Belarus, Ukraine and Moldova;BLR;--;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;o;-;-;-;-;o;o;-;-;Belarus, Ukraine and Moldova offers a unique travel experience.
Eastern Europe;Romania, Bulgaria and Macedonia;ROU;-;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;o;o;o;o;-;--;o;o;o;-;Romania, Bulgaria and Macedonia offers a unique travel experience.
Eastern Europe;Serbia, Bosnia and Herzegovina, Montenegro;SRB;-;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;-;-;--;--;-;--;o;o;-;-;Serbia, Bosnia and Herzegovina, Montenegro offers a unique travel experience.
Eastern Europe;Albania, Kosovo;ALB;o;350.0;-;-;-;o;++;++;+;+;++;++;o;-;+;-;-;o;-;-;--;o;o;-;-;Albania, Kosovo offers a unique travel experience.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Southern Europe;;;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;;;;;;;;;;;
Southern Europe;Corsica and Sardinia;FRA_CO;+;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;o;o;+;o;-;--;o;o;-;-;Corsica and Sardinia offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
Southern Europe;Italy and Malta;ITA;++;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;+;+;+;+;o;--;++;+;++;o;Italy and Malta is a treasure trove of art, history, and landscapes. Rome's Colosseum and Venice's canals are iconic historic sites. Florence is the cradle of the Renaissance. The Amalfi Coast offers breathtaking cliffside views. The Dolomites provide dramatic mountain scenery.
Southern Europe;Greece, mainland;GRC_ML;+;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;+;+;+;+;o;--;+;+;+;o;Greece, mainland offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Southern Europe;Greece, islands;GRC_IS;++;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;+;o;++;+;+;--;++;+;o;-;Greece, islands features quintessential Mediterranean paradises. Santorini is famous for its sunsets and volcanic beaches. Mykonos offers beautiful beaches and vibrant nightlife. Ancient ruins like Delos offer a glimpse into the past.
Southern Europe;Spain, mainland;ESP_ML;++;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;o;-;++;+;+;--;+;+;+;o;Spain, mainland offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Southern Europe;Spain, Balearic Islands;ESP_BA;++;350.0;-;-;o;+;++;++;+;+;++;++;o;-;o;+;+;++;+;++;--;o;+;o;-;Spain, Balearic Islands offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Southern Europe;Spain, Canary islands;ESP_CA;++;350.0;+;+;+;++;++;++;+;+;++;++;++;o;o;o;o;+;o;+;--;o;o;o;-;Spain, Canary islands offers a unique travel experience. Beautiful beaches provide the perfect setting for relaxation.
Southern Europe;Portugal, mainland;PRT;++;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;o;o;+;o;o;--;+;+;+;-;Portugal, mainland offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Southern Europe;Portugal, islands;PRT_IS;+;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;+;+;+;+;o;--;+;o;o;-;Portugal, islands offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation. Scenic trails offer great opportunities for hiking and exploration.
Southern Europe;Turkey;TUR;+;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;o;o;+;o;o;o;++;+;+;o;Turkey offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
Southern Europe;Cyprus;CYP;o;350.0;-;-;o;++;++;++;+;+;++;++;+;o;o;-;o;+;+;o;--;+;o;o;-;Cyprus offers a unique travel experience. Visitors can explore the rich local heritage and historical sites. Beautiful beaches provide the perfect setting for relaxation.
